name,emoji_unicode,average_color
🪲,U+1FAB2,46 157 72
😡,U+1F621,208 62 72
🦽,U+1F9BD,147 69 72
🦃,U+1F983,144 94 72
🪶,U+1FAB6,159 112 73
🦺,U+1F9BA,229 143 73
🤣,U+1F923,188 153 73
🛺,U+1F6FA,138 168 73
🔰,U+1F530,145 193 73
📀,U+1F4C0,249 197 73
◾,U+25FE,73 73 73
🏹,U+1F3F9,178 120 74
🙇,U+1F647,110 140 74
⛳,U+26F3,140 177 74
🍐,U+1F350,195 209 74
🧲,U+1F9F2,213 68 74
⛔,U+26D4,235 74 74
🎼,U+1F3BC,192 182 200
🦧,U+1F9A7,201 93 74
👜,U+1F45C,136 99 74
🐻,U+1F43B,155 114 75
🍕,U+1F355,230 155 75
👵,U+1F475,212 174 75
🍲,U+1F372,186 98 75
🦌,U+1F98C,180 112 76
🪔,U+1FA94,182 122 76
🌱,U+1F331,123 159 76
🌿,U+1F33F,125 173 76
🙄,U+1F644,237 190 76
🚨,U+1F6A8,191 78 76
💆,U+1F486,160 107 77
🧱,U+1F9F1,209 111 77
🦔,U+1F994,166 123 77
🌖,U+1F316,196 183 77
🌔,U+1F314,207 192 77
🪹,U+1FAB9,170 127 78
🚖,U+1F696,189 169 78
🥅,U+1F945,181 72 78
💖,U+1F496,212 79 78
🥸,U+1F978,165 152 79
🌗,U+1F317,166 157 79
🍝,U+1F35D,223 160 79
😂,U+1F602,192 161 79
📦,U+1F4E6,239 178 79
🦍,U+1F98D,79 79 79
🧡,U+1F9E1,245 134 8
🌓,U+1F313,162 151 80
🈺,U+1F23A,245 160 80
🔌,U+1F50C,80 80 80
🎥,U+1F3A5,81 81 80
👢,U+1F462,112 99 80
🪗,U+1FA97,213 125 81
🤒,U+1F912,211 127 81
😨,U+1F628,189 192 81
🦬,U+1F9AC,128 92 81
🐎,U+1F40E,216 145 82
🏋,U+1F3CB,155 157 82
🚕,U+1F695,196 178 82
🐒,U+1F412,165 122 83
🐴,U+1F434,204 139 83
🥾,U+1F97E,184 141 83
🈸,U+1F238,246 161 83
🥖,U+1F956,227 167 83
🧉,U+1F9C9,153 123 84
👬,U+1F46C,101 127 84
🦕,U+1F995,104 155 84
🧝,U+1F9DD,225 164 84
🛌,U+1F6CC,148 166 84
🌳,U+1F333,136 182 84
😤,U+1F624,236 194 84
🏒,U+1F3D2,163 102 85
🪵,U+1FAB5,109 69 50
📗,U+1F4D7,81 149 85
🍪,U+1F36A,239 175 85
🏓,U+1F3D3,228 90 85
🙎,U+1F64E,140 92 85
🐌,U+1F40C,155 119 86
🈴,U+1F234,237 122 86
🥉,U+1F949,186 145 86
🍃,U+1F343,120 165 86
🥑,U+1F951,162 173 86
🐤,U+1F424,250 212 86
🐗,U+1F417,142 112 87
😠,U+1F620,215 117 87
🪜,U+1FA9C,203 143 87
🧆,U+1F9C6,185 149 87
🏅,U+1F3C5,221 184 87
🏴,U+1F3F4,87 87 87
🆑,U+1F191,223 89 87
🫃,U+1FAC3,108 156 88
🍖,U+1F356,189 102 89
🦣,U+1F9A3,153 107 89
🍰,U+1F370,238 153 89
👺,U+1F47A,163 17 9
🎋,U+1F38B,141 173 90
💐,U+1F490,186 175 90
🔇,U+1F507,132 79 90
🎱,U+1F3B1,70 60 107
🙍,U+1F64D,143 93 90
😭,U+1F62D,170 133 91
😰,U+1F630,176 182 91
🔏,U+1F50F,210 173 92
🐕,U+1F415,237 181 92
🐆,U+1F406,231 185 92
🪠,U+1FAA0,211 108 93
🦦,U+1F9A6,160 112 93
🛖,U+1F6D6,181 123 93
🐵,U+1F435,178 135 93
🪘,U+1FA98,206 151 93
🧮,U+1F9EE,199 175 93
☎,U+260E,93 93 93
💼,U+1F4BC,133 106 94
🦊,U+1F98A,220 133 94
🪃,U+1FA83,183 138 94
🪓,U+1FA93,231 142 94
🥗,U+1F957,145 155 94
🉐,U+1F250,243 166 94
📧,U+1F4E7,208 191 94
💁,U+1F481,139 89 94
🎞,U+1F39E,116 100 95
🍉,U+1F349,218 109 95
🎍,U+1F38D,158 168 95
🐹,U+1F439,217 174 95
🎨,U+1F3A8,233 179 95
👫,U+1F46B,124 106 96
🥩,U+1F969,203 100 97
💩,U+1F4A9,148 110 97
🍾,U+1F37E,149 152 97
🥞,U+1F95E,210 156 97
🧺,U+1F9FA,202 158 97
🍏,U+1F34F,147 194 97
🍆,U+1F346,107 73 97
🌷,U+1F337,178 97 97
🎴,U+1F3B4,174 98 97
🪛,U+1FA9B,221 107 98
🐫,U+1F42B,180 141 98
🚃,U+1F683,152 166 98
🤧,U+1F927,212 183 98
🆘,U+1F198,223 101 99
🏈,U+1F3C8,149 109 99
🐂,U+1F402,177 139 99
🧓,U+1F9D3,201 172 99
🥪,U+1F96A,235 180 110
